"azimuth","horizon_height","horizon_distance"
0,9.939936,54.147945
359.99,9.939936,54.147945
359.98,9.939936,54.147945
359.97,9.828034,55.145263
359.96,9.828034,55.145263
359.95,9.828034,55.145263
359.94,9.828034,55.145263
359.93,9.828034,55.145263
359.92,9.828034,55.145263
359.91,9.828034,55.145263
359.9,9.818483,54.083269
359.89,9.818483,54.083269
359.88,9.818483,54.083269
359.87,9.818483,54.083269
359.86,9.818483,54.083269
359.85,9.818483,54.083269
359.84,9.818483,54.083269
359.83,9.818483,54.083269
359.82,9.818483,54.083269
359.81,9.818483,54.083269
359.8,9.818483,54.083269
359.79,9.818483,54.083269
359.78,9.818483,54.083269
359.77,9.818483,54.083269
359.76,9.818483,54.083269
359.75,9.818483,54.083269
359.74,9.818483,54.083269
359.73,9.818483,54.083269
359.72,9.818483,54.083269
359.71,9.818483,54.083269
359.7,9.818483,54.083269
359.69,9.818483,54.083269
359.68,9.818483,54.083269
359.67,9.818483,54.083269
359.66,9.818483,54.083269
359.65,9.818483,54.083269
359.64,9.818483,54.083269
359.63,9.818483,54.083269
359.62,9.818483,54.083269
359.61,9.818483,54.083269
359.6,9.818483,54.083269
359.59,9.818483,54.083269
359.58,9.818483,54.083269
359.57,9.818483,54.083269
359.56,9.818483,54.083269
359.55,9.818483,54.083269
359.54,9.818483,54.083269
359.53,9.818483,54.083269
359.52,9.818483,54.083269
359.51,9.818483,54.083269
359.5,9.818483,54.083269
359.49,9.818483,54.083269
359.48,9.818483,54.083269
359.47,9.818483,54.083269
359.46,9.818483,54.083269
359.45,9.818483,54.083269
359.44,9.818483,54.083269
359.43,9.818483,54.083269
359.42,9.818483,54.083269
359.41,9.818483,54.083269
359.4,9.818483,54.083269
359.39,9.818483,54.083269
359.38,9.818483,54.083269
359.37,9.818483,54.083269
359.36,9.818483,54.083269
359.35,9.818483,54.083269
359.34,9.818483,54.083269
359.33,9.818483,54.083269
359.32,9.818483,54.083269
359.31,9.818483,54.083269
359.3,9.818483,54.083269
359.29,9.818483,54.083269
359.28,9.818483,54.083269
359.27,9.818483,54.083269
359.26,9.818483,54.083269
359.25,9.818483,54.083269
359.24,9.818483,54.083269
359.23,9.818483,54.083269
359.22,9.818483,54.083269
359.21,9.818483,54.083269
359.2,9.818483,54.083269
359.19,9.818483,54.083269
359.18,9.818483,54.083269
359.17,9.818483,54.083269
359.16,9.818483,54.083269
359.15,9.818483,54.083269
359.14,9.818483,54.083269
359.13,9.818483,54.083269
359.12,9.818483,54.083269
359.11,9.818483,54.083269
359.1,9.818483,54.083269
359.09,9.818483,54.083269
359.08,9.818483,54.083269
359.07,9.818483,54.083269
359.06,9.818483,54.083269
359.05,9.818483,54.083269
359.04,9.818483,54.083269
359.03,9.818483,54.083269
359.02,9.818483,54.083269
359.01,9.818483,54.083269
359,9.818483,54.083269
358.99,9.818483,54.083269
358.98,9.818483,54.083269
358.97,9.818483,54.083269
358.96,9.818483,54.083269
358.95,9.818483,54.083269
358.94,9.818483,54.083269
358.93,9.818483,54.083269
358.92,9.688695,55.081757
358.91,9.688695,55.081757
358.9,9.688695,55.081757
358.89,9.688695,55.081757
358.88,9.688695,55.081757
358.87,9.291511,56.0803
358.86,9.291511,56.0803
358.85,9.291511,56.0803
358.84,9.291511,56.0803
358.83,8.980175,53.037722
358.82,8.980175,53.037722
358.81,8.980175,53.037722
358.8,8.980175,53.037722
358.79,8.980175,53.037722
358.78,8.980175,53.037722
358.77,8.980175,53.037722
358.76,8.980175,53.037722
358.75,8.980175,53.037722
358.74,8.980175,53.037722
358.73,8.980175,53.037722
358.72,8.980175,53.037722
358.71,8.980175,53.037722
358.7,8.980175,53.037722
358.69,8.980175,53.037722
358.68,8.980175,53.037722
358.67,8.980175,53.037722
358.66,8.980175,53.037722
358.65,8.980175,53.037722
358.64,8.980175,53.037722
358.63,8.980175,53.037722
358.62,8.980175,53.037722
358.61,8.980175,53.037722
358.6,8.980175,53.037722
358.59,8.980175,53.037722
358.58,8.980175,53.037722
358.57,8.980175,53.037722
358.56,8.980175,53.037722
358.55,8.980175,53.037722
358.54,8.980175,53.037722
358.53,8.980175,53.037722
358.52,8.980175,53.037722
358.51,8.980175,53.037722
358.5,8.980175,53.037722
358.49,8.980175,53.037722
358.48,8.980175,53.037722
358.47,8.980175,53.037722
358.46,8.980175,53.037722
