"azimuth","horizon_height","horizon_distance"
0,2.696101,1523.324004
359.99,2.696101,1523.324004
359.98,2.696101,1523.324004
359.97,2.696101,1523.324004
359.96,2.696101,1523.324004
359.95,2.696101,1523.324004
359.94,2.696101,1523.324004
359.93,2.696101,1523.324004
359.92,2.696101,1523.324004
359.91,2.696101,1523.324004
359.9,2.696101,1523.324004
359.89,2.696101,1523.324004
359.88,2.696101,1523.324004
359.87,2.696101,1523.324004
359.86,2.696101,1523.324004
359.85,2.696101,1523.324004
359.84,2.696101,1523.324004
359.83,2.696101,1523.324004
359.82,2.696101,1523.324004
359.81,2.696101,1523.324004
359.8,2.696101,1523.324004
359.79,2.696101,1523.324004
359.78,2.704102,1482.197639
359.77,2.704102,1482.197639
359.76,2.704102,1482.197639
359.75,2.704102,1482.197639
359.74,2.704102,1482.197639
359.73,2.748717,1502.169372
359.72,2.748717,1502.169372
359.71,2.748717,1502.169372
359.7,2.748717,1502.169372
359.69,2.748717,1502.169372
359.68,2.748717,1502.169372
359.67,2.748717,1502.169372
359.66,2.748717,1502.169372
359.65,2.748717,1502.169372
359.64,2.748717,1502.169372
359.63,2.748717,1502.169372
359.62,2.748717,1502.169372
359.61,2.748717,1502.169372
359.6,2.748717,1502.169372
359.59,2.748717,1502.169372
359.58,2.748717,1502.169372
359.57,2.748717,1502.169372
359.56,2.748717,1502.169372
359.55,2.748717,1502.169372
359.54,2.748717,1502.169372
359.53,2.748717,1502.169372
359.52,2.748717,1502.169372
359.51,2.748717,1502.169372
359.5,2.748717,1502.169372
359.49,2.748717,1502.169372
359.48,2.748717,1502.169372
359.47,2.748717,1502.169372
359.46,2.748717,1502.169372
359.45,2.748717,1502.169372
359.44,2.748717,1502.169372
359.43,2.748717,1502.169372
359.42,2.748717,1502.169372
359.41,2.748717,1502.169372
359.4,2.748717,1502.169372
359.39,2.748717,1502.169372
359.38,2.748717,1502.169372
359.37,2.748717,1502.169372
359.36,2.748717,1502.169372
359.35,2.748717,1502.169372
359.34,2.748717,1502.169372
359.33,2.748717,1502.169372
359.32,2.748717,1502.169372
359.31,2.748717,1502.169372
359.3,2.748717,1502.169372
359.29,2.748717,1502.169372
359.28,2.748717,1502.169372
359.27,2.748717,1502.169372
359.26,2.748717,1502.169372
359.25,2.748717,1502.169372
359.24,2.748717,1502.169372
359.23,2.748717,1502.169372
359.22,2.748717,1502.169372
359.21,2.748717,1502.169372
359.2,2.748717,1502.169372
359.19,2.748717,1502.169372
359.18,2.748717,1502.169372
359.17,2.748717,1502.169372
359.16,2.748717,1502.169372
359.15,2.748717,1502.169372
359.14,2.748717,1502.169372
359.13,2.748717,1502.169372
359.12,2.748717,1502.169372
359.11,2.748717,1502.169372
359.1,2.748717,1502.169372
359.09,2.748717,1502.169372
359.08,2.748717,1502.169372
359.07,2.748717,1502.169372
359.06,2.748717,1502.169372
359.05,2.748717,1502.169372
359.04,2.748717,1502.169372
359.03,2.748717,1502.169372
359.02,2.748717,1502.169372
359.01,2.748717,1502.169372
359,2.748717,1502.169372
358.99,2.748717,1502.169372
358.98,2.748717,1502.169372
358.97,2.760427,1501.23705
358.96,2.760427,1501.23705
358.95,2.760427,1501.23705
358.94,2.760427,1501.23705
358.93,2.760427,1501.23705
358.92,2.760427,1501.23705
358.91,2.760427,1501.23705
358.9,2.760427,1501.23705
358.89,2.760427,1501.23705
358.88,2.760427,1501.23705
358.87,2.760427,1501.23705
358.86,2.760427,1501.23705
358.85,2.760427,1501.23705
358.84,2.760427,1501.23705
358.83,2.760427,1501.23705
358.82,2.760427,1501.23705
358.81,2.760427,1501.23705
358.8,2.760427,1501.23705
358.79,2.760427,1501.23705
358.78,2.760427,1501.23705
358.77,2.760427,1501.23705
358.76,2.760427,1501.23705
358.75,2.760427,1501.23705
358.74,2.760427,1501.23705
358.73,2.760427,1501.23705
358.72,2.760427,1501.23705
358.71,2.760427,1501.23705
358.7,2.766469,2141.548342
358.69,2.766469,2141.548342
358.68,2.766469,2141.548342
358.67,2.766469,2141.548342
358.66,2.766469,2141.548342
358.65,2.766469,2141.548342
358.64,2.766469,2141.548342
358.63,2.766469,2141.548342
358.62,2.766469,2141.548342
358.61,2.766469,2141.548342
358.6,2.766469,2141.548342
358.59,2.766469,2141.548342
358.58,2.766469,2141.548342
358.57,2.766469,2141.548342
358.56,2.766469,2141.548342
358.55,2.766469,2141.548342
358.54,2.766469,2141.548342
358.53,2.766469,2141.548342
358.52,2.766469,2141.548342
358.51,2.766469,2141.548342
358.5,2.766469,2141.548342
358.49,2.766469,2141.548342
358.48,2.766469,2141.548342
358.47,2.766469,2141.548342
358.46,2.766469,2141.548342
358.45,2.766469,2141.548342
358.44,2.766469,2141.548342
358.43,2.766469,2141.548342
358.42,2.766469,2141.548342
358.41,2.766469,2141.548342
358.4,2.766469,2141.548342
358.39,2.766469,2141.548342
358.38,2.766469,2141.548342
358.37,2.766469,2141.548342
358.36,2.766469,2141.548342
358.35,2.766469,2141.548342
358.34,2.766469,2141.548342
358.33,2.766469,2141.548342
358.32,2.766469,2141.548342
358.31,2.766469,2141.548342
358.3,2.766469,2141.548342
358.29,2.766469,2141.548342
358.28,2.766469,2141.548342
358.27,2.766469,2141.548342
358.26,2.766469,2141.548342
358.25,2.766469,2141.548342
358.24,2.766469,2141.548342
358.23,2.766469,2141.548342
358.22,2.766469,2141.548342
358.21,2.766469,2141.548342
358.2,2.766469,2141.548342
358.19,2.766469,2141.548342
358.18,2.805695,2120.901908
358.17,2.824931,2140.894477
358.16,2.824931,2140.894477
358.15,2.824931,2140.894477
358.14,2.824931,2140.894477
358.13,2.824931,2140.894477
358.12,2.824931,2140.894477
358.11,2.824931,2140.894477
358.1,2.824931,2140.894477
358.09,2.824931,2140.894477
358.08,2.824931,2140.894477
358.07,2.824931,2140.894477
358.06,2.824931,2140.894477
358.05,2.824931,2140.894477
358.04,2.824931,2140.894477
358.03,2.824931,2140.894477
358.02,2.824931,2140.894477
358.01,2.824931,2140.894477
358,2.824931,2140.894477
357.99,2.824931,2140.894477
357.98,2.824931,2140.894477
357.97,2.824931,2140.894477
357.96,2.824931,2140.894477
357.95,2.824931,2140.894477
357.94,2.824931,2140.894477
357.93,2.824931,2140.894477
357.92,2.824931,2140.894477
357.91,2.824931,2140.894477
357.9,2.824931,2140.894477
357.89,2.824931,2140.894477
357.88,2.824931,2140.894477
357.87,2.824931,2140.894477
357.86,2.824931,2140.894477
357.85,2.824931,2140.894477
357.84,2.824931,2140.894477
357.83,2.824931,2140.894477
357.82,2.824931,2140.894477
357.81,2.824931,2140.894477
357.8,2.824931,2140.894477
357.79,2.824931,2140.894477
357.78,2.824931,2140.894477
357.77,2.824931,2140.894477
357.76,2.824931,2140.894477
357.75,2.824931,2140.894477
357.74,2.824931,2140.894477
357.73,2.824931,2140.894477
357.72,2.824931,2140.894477
357.71,2.824931,2140.894477
357.7,2.824931,2140.894477
357.69,2.824931,2140.894477
357.68,2.824931,2140.894477
357.67,2.824931,2140.894477
357.66,2.824931,2140.894477
357.65,2.824931,2140.894477
357.64,2.851995,2120.430334
357.63,2.851995,2120.430334
357.62,2.851995,2120.430334
357.61,2.851995,2120.430334
357.6,2.851995,2120.430334
357.59,2.851995,2120.430334
357.58,2.851995,2120.430334
357.57,2.851995,2120.430334
357.56,2.851995,2120.430334
357.55,2.851995,2120.430334
357.54,2.851995,2120.430334
357.53,2.851995,2120.430334
357.52,2.851995,2120.430334
357.51,2.851995,2120.430334
357.5,2.851995,2120.430334
357.49,2.851995,2120.430334
357.48,2.851995,2120.430334
357.47,2.851995,2120.430334
357.46,2.851995,2120.430334
357.45,2.851995,2120.430334
357.44,2.851995,2120.430334
357.43,2.851995,2120.430334
357.42,2.851995,2120.430334
357.41,2.851995,2120.430334
357.4,2.851995,2120.430334
357.39,2.851995,2120.430334
357.38,2.851995,2120.430334
357.37,2.851995,2120.430334
357.36,2.851995,2120.430334
357.35,2.851995,2120.430334
357.34,2.851995,2120.430334
357.33,2.851995,2120.430334
357.32,2.851995,2120.430334
357.31,2.851995,2120.430334
357.3,2.851995,2120.430334
357.29,2.851995,2120.430334
357.28,2.851995,2120.430334
357.27,2.851995,2120.430334
357.26,2.851995,2120.430334
357.25,2.851995,2120.430334
357.24,2.851995,2120.430334
357.23,2.851995,2120.430334
357.22,2.851995,2120.430334
357.21,2.851995,2120.430334
357.2,2.851995,2120.430334
357.19,2.851995,2120.430334
357.18,2.851995,2120.430334
357.17,2.851995,2120.430334
357.16,2.851995,2120.430334
357.15,2.851995,2120.430334
357.14,2.851995,2120.430334
357.13,2.851995,2120.430334
357.12,2.851995,2120.430334
357.11,2.851995,2120.430334
357.1,2.827416,2100.147738
357.09,2.827416,2100.147738
357.08,2.827416,2100.147738
357.07,2.827416,2100.147738
357.06,2.827416,2100.147738
357.05,2.827416,2100.147738
357.04,2.827416,2100.147738
357.03,2.827416,2100.147738
357.02,2.827416,2100.147738
357.01,2.827416,2100.147738
357,2.827416,2100.147738
356.99,2.827416,2100.147738
356.98,2.827416,2100.147738
356.97,2.827416,2100.147738
356.96,2.827416,2100.147738
356.95,2.827416,2100.147738
356.94,2.888289,2660.141689
356.93,2.888289,2660.141689
356.92,2.888289,2660.141689
356.91,2.888289,2660.141689
356.9,2.888289,2660.141689
356.89,2.888289,2660.141689
356.88,2.888289,2660.141689
356.87,2.888289,2660.141689
356.86,2.888289,2660.141689
356.85,2.888289,2660.141689
356.84,2.888289,2660.141689
356.83,2.888289,2660.141689
356.82,2.888289,2660.141689
356.81,2.888289,2660.141689
356.8,2.888289,2660.141689
356.79,2.888289,2660.141689
356.78,2.888289,2660.141689
356.77,2.888289,2660.141689
356.76,2.888289,2660.141689
356.75,2.888289,2660.141689
356.74,2.888289,2660.141689
356.73,2.888289,2660.141689
356.72,2.888289,2660.141689
356.71,2.888289,2660.141689
356.7,2.888289,2660.141689
356.69,2.888289,2660.141689
356.68,2.888289,2660.141689
356.67,2.888289,2660.141689
356.66,2.888289,2660.141689
356.65,2.888289,2660.141689
356.64,2.888289,2660.141689
356.63,2.888289,2660.141689
356.62,2.888289,2660.141689
356.61,2.888289,2660.141689
356.6,2.888289,2660.141689
356.59,2.888289,2660.141689
356.58,2.888289,2660.141689
356.57,2.888289,2660.141689
356.56,2.888289,2660.141689
356.55,2.888289,2660.141689
356.54,2.888289,2660.141689
356.53,2.888289,2660.141689
356.52,2.888289,2660.141689
356.51,2.88553,2660.0665
356.5,2.88553,2660.0665
356.49,2.88553,2660.0665
356.48,2.88553,2660.0665
356.47,2.88553,2660.0665
356.46,2.88553,2660.0665
356.45,2.88553,2660.0665
356.44,2.88553,2660.0665
356.43,2.88553,2660.0665
356.42,2.88553,2660.0665
356.41,2.88553,2660.0665
356.4,2.88553,2660.0665
356.39,2.88553,2660.0665
356.38,2.88553,2660.0665
356.37,2.88553,2660.0665
356.36,2.88553,2660.0665
356.35,2.88553,2660.0665
356.34,2.88553,2660.0665
356.33,2.88553,2660.0665
356.32,2.88553,2660.0665
356.31,2.88553,2660.0665
356.3,2.88553,2660.0665
356.29,2.88553,2660.0665
356.28,2.88553,2660.0665
356.27,2.88553,2660.0665
356.26,2.88553,2660.0665
356.25,2.88553,2660.0665
356.24,2.88553,2660.0665
356.23,2.88553,2660.0665
356.22,2.88553,2660.0665
356.21,2.88553,2660.0665
356.2,2.88553,2660.0665
356.19,2.88553,2660.0665
356.18,2.88553,2660.0665
356.17,2.88553,2660.0665
356.16,2.88553,2660.0665
356.15,2.88553,2660.0665
356.14,2.88553,2660.0665
356.13,2.88553,2660.0665
356.12,2.88553,2660.0665
356.11,2.88553,2660.0665
356.1,2.88553,2660.0665
356.09,2.88553,2660.0665
356.08,2.938305,2680.141628
356.07,2.938305,2680.141628
356.06,2.938305,2680.141628
356.05,2.938305,2680.141628
356.04,2.938305,2680.141628
356.03,2.938305,2680.141628
356.02,2.938305,2680.141628
356.01,2.938305,2680.141628
356,2.938305,2680.141628
355.99,2.938305,2680.141628
355.98,2.938305,2680.141628
355.97,2.938305,2680.141628
355.96,2.938305,2680.141628
355.95,2.938305,2680.141628
355.94,2.938305,2680.141628
355.93,2.938305,2680.141628
355.92,2.938305,2680.141628
355.91,2.938305,2680.141628
355.9,2.938305,2680.141628
355.89,2.938305,2680.141628
355.88,2.938305,2680.141628
355.87,2.938305,2680.141628
355.86,2.938305,2680.141628
355.85,2.938305,2680.141628
355.84,2.938305,2680.141628
355.83,2.938305,2680.141628
355.82,2.938305,2680.141628
355.81,2.938305,2680.141628
355.8,2.938305,2680.141628
355.79,2.938305,2680.141628
355.78,2.938305,2680.141628
355.77,2.938305,2680.141628
355.76,2.938305,2680.141628
355.75,2.938305,2680.141628
355.74,2.938305,2680.141628
355.73,2.938305,2680.141628
355.72,2.938305,2680.141628
355.71,2.938305,2680.141628
355.7,2.938305,2680.141628
355.69,2.938305,2680.141628
355.68,2.938305,2680.141628
355.67,2.938305,2680.141628
355.66,2.964247,2680.365498
355.65,3.000805,2660.367242
355.64,3.000805,2660.367242
355.63,3.000805,2660.367242
355.62,3.000805,2660.367242
355.61,3.000805,2660.367242
355.6,3.000805,2660.367242
355.59,3.000805,2660.367242
355.58,3.000805,2660.367242
355.57,3.000805,2660.367242
355.56,3.000805,2660.367242
355.55,3.000805,2660.367242
355.54,3.000805,2660.367242
355.53,3.000805,2660.367242
355.52,3.000805,2660.367242
355.51,3.000805,2660.367242
355.5,3.000805,2660.367242
355.49,3.000805,2660.367242
355.48,3.000805,2660.367242
355.47,3.000805,2660.367242
355.46,3.000805,2660.367242
355.45,3.000805,2660.367242
355.44,3.000805,2660.367242
355.43,3.000805,2660.367242
355.42,3.000805,2660.367242
355.41,3.000805,2660.367242
355.4,3.000805,2660.367242
355.39,3.000805,2660.367242
355.38,3.000805,2660.367242
355.37,3.000805,2660.367242
355.36,3.000805,2660.367242
355.35,3.000805,2660.367242
355.34,3.000805,2660.367242
355.33,3.000805,2660.367242
355.32,3.000805,2660.367242
355.31,3.000805,2660.367242
355.3,3.000805,2660.367242
355.29,3.000805,2660.367242
355.28,3.000805,2660.367242
355.27,3.000805,2660.367242
355.26,3.000805,2660.367242
355.25,3.000805,2660.367242
355.24,3.000805,2660.367242
355.23,3.000805,2660.367242
355.22,3.023819,2660.743123
355.21,3.028576,2640.747747
355.2,3.028576,2640.747747
355.19,3.028576,2640.747747
355.18,3.028576,2640.747747
355.17,3.028576,2640.747747
355.16,3.028576,2640.747747
355.15,3.028576,2640.747747
355.14,3.028576,2640.747747
355.13,3.028576,2640.747747
355.12,3.028576,2640.747747
355.11,3.028576,2640.747747
355.1,3.028576,2640.747747
355.09,3.028576,2640.747747
355.08,3.028576,2640.747747
355.07,3.028576,2640.747747
355.06,3.028576,2640.747747
355.05,3.028576,2640.747747
355.04,3.028576,2640.747747
355.03,3.028576,2640.747747
355.02,3.028576,2640.747747
355.01,3.028576,2640.747747
355,3.028576,2640.747747
354.99,3.028576,2640.747747
354.98,3.028576,2640.747747
354.97,3.028576,2640.747747
354.96,3.028576,2640.747747
354.95,3.028576,2640.747747
354.94,3.028576,2640.747747
354.93,3.028576,2640.747747
354.92,3.028576,2640.747747
354.91,3.028576,2640.747747
354.9,3.028576,2640.747747
354.89,3.028576,2640.747747
354.88,3.028576,2640.747747
354.87,3.028576,2640.747747
354.86,3.028576,2640.747747
354.85,3.028576,2640.747747
354.84,3.028576,2640.747747
354.83,3.028576,2640.747747
354.82,3.028576,2640.747747
354.81,3.028576,2640.747747
354.8,3.028576,2640.747747
354.79,3.042737,2661.269266
354.78,3.066277,2641.277873
354.77,3.070096,2621.28662
354.76,3.076839,2601.295509
354.75,3.076839,2601.295509
354.74,3.076839,2601.295509
354.73,3.076839,2601.295509
354.72,3.076839,2601.295509
354.71,3.076839,2601.295509
354.7,3.076839,2601.295509
354.69,3.076839,2601.295509
354.68,3.076839,2601.295509
354.67,3.076839,2601.295509
354.66,3.076839,2601.295509
354.65,3.076839,2601.295509
354.64,3.076839,2601.295509
354.63,3.076839,2601.295509
354.62,3.076839,2601.295509
354.61,3.076839,2601.295509
354.6,3.076839,2601.295509
354.59,3.076839,2601.295509
354.58,3.076839,2601.295509
354.57,3.076839,2601.295509
354.56,3.076839,2601.295509
354.55,3.076839,2601.295509
354.54,3.076839,2601.295509
354.53,3.076839,2601.295509
354.52,3.076839,2601.295509
354.51,3.076839,2601.295509
354.5,3.076839,2601.295509
354.49,3.076839,2601.295509
354.48,3.076839,2601.295509
354.47,3.076839,2601.295509
354.46,3.076839,2601.295509
354.45,3.076839,2601.295509
354.44,3.076839,2601.295509
354.43,3.082985,3362.226228
354.42,3.092737,3342.238547
354.41,3.092737,3342.238547
354.4,3.100938,3322.251021
354.39,3.100938,3322.251021
354.38,3.100938,3322.251021
354.37,3.100938,3322.251021
354.36,3.100938,3322.251021
354.35,3.121777,2641.959308
354.34,3.121777,2641.959308
354.33,3.121777,2641.959308
354.32,3.121777,2641.959308
354.31,3.121777,2641.959308
354.3,3.121777,2641.959308
354.29,3.121777,2641.959308
354.28,3.121777,2641.959308
354.27,3.121777,2641.959308
354.26,3.121777,2641.959308
354.25,3.121777,2641.959308
