"azimuth","horizon_height","horizon_distance"
0,9.939936,54.147945
359,9.818483,54.083269
358,8.980175,53.037722
357,8.932049,54.009258
356,3.649215,54
355,2.103104,3
354,2.103104,3
353,2.103104,3
352,2.103104,3
351,2.103104,3
350,2.306929,68.468971
349,2.362784,4.123106
348,2.787974,56.568542
347,2.660042,57.706152
346,2.362784,4.123106
345,2.362784,4.123106
344,2.711264,101.414989
343,4.1285,102.839681
342,4.115418,103.077641
341,3.348565,103.580886
340,3.249575,104.120123
339,4.248157,29.410882
338,12.396627,30.675723
337,14.947356,28.79236
336,17.024463,31.016125
335,19.541723,30.083218
334,19.752768,30.463092
333,19.808159,29.546573
332,20.007029,30.870698
331,20.570215,29.966648
330,20.886836,30.413813
329,20.886836,30.413813
328,20.886836,30.413813
327,19.515686,29.529646
326,18.541882,30.016662
325,16.694693,31.38471
324,12.455313,30.528675
323,8.565076,19.416488
322,8.565076,19.416488
321,12.180172,20
320,12.180172,20
319,13.380166,19.209373
318,13.380166,19.209373
317,14.966405,19.849433
316,14.966405,19.849433
315,15.627119,20.518285
314,15.627119,20.518285
313,15.627119,20.518285
312,23.089759,35.355339
311,32.785109,36.069378
310,32.785109,36.069378
309,23.693429,36.796739
308,15.124667,20.518285
307,11.878021,19.849433
306,11.878021,19.849433
305,8.745321,18.439089
304,6.424614,20.615528
303,6.349063,42.201896
302,6.789614,41.617304
301,6.789614,41.617304
300,6.553074,41.048752
299,9.303251,17.492856
298,9.303251,17.492856
297,11.0557,18.35756
296,11.0557,18.35756
295,11.0557,18.35756
294,11.641041,17.888544
293,11.641041,17.888544
292,11.641041,17.888544
291,11.641041,17.888544
290,9.113168,17.464249
289,9.113168,17.464249
288,6.270351,18.384776
287,6.270351,18.384776
286,5.954507,44.598206
285,6.231283,43.324358
284,6.018215,52.497619
283,5.931825,46.840154
282,8.284994,51.92302
281,10.226637,51.662365
280,10.758612,51.419841
279,11.298909,51.195703
278,11.363601,50.990195
277,10.939793,51.971146
276,10.34141,50.803543
275,8.309175,50.635956
274,8.182928,77.646635
273,8.367777,77.52419
272,8.359009,77.414469
271,9.128993,54.147945
270,9.838308,55.145263
269,9.232735,55.081757
268,8.693906,49.010203
267,9.083959,55.00909
266,7.158666,50
265,6.461135,49.010203
264,7.432562,49.040799
263,7.333528,47.095647
262,7.926363,49.162994
261,7.956049,49.254441
260,7.956049,49.254441
259,7.296334,74.545288
258,7.619863,75.802375
257,7.34213,79.075913
256,10.536681,77.278716
255,11.30886,77.466122
254,11.227512,78.854296
253,10.228151,77.129761
252,9.513746,78.339007
251,8.986791,49.729267
250,6.64544,69.641941
249,6.219118,37.64306
248,5.863048,64.195015
247,5.598576,64.513564
246,6.440794,65.192024
245,7.811516,63.324561
244,9.168214,62.769419
243,9.346933,63.158531
242,10.963551,64.884513
241,12.133326,65.306967
240,12.569229,65.74192
239,12.594533,66.189123
238,12.186158,64.884513
237,12.116923,65.368188
236,11.468926,64.498062
235,11.582319,66.887966
234,12.867229,67.416615
233,12.935784,67.955868
232,12.286418,79.881162
231,14.403619,79.630396
230,14.440466,80.212219
229,14.77457,45.607017
228,15.460929,47.010637
227,15.347007,46.227697
226,15.725672,48.918299
225,15.761065,49.578221
224,15.761065,49.578221
223,15.369207,48.104054
222,14.680277,48.795492
221,12.558885,49.497475
220,11.846928,50.209561
219,12.595025,33.970576
218,16.123612,33.301652
217,17.802674,34.058773
216,20.115683,33.42155
215,20.115683,33.42155
214,20.987719,32.802439
213,21.781483,33.600595
212,21.781483,33.600595
211,21.040083,33.015148
210,22.66942,38.275318
209,23.127839,37.735925
208,23.433103,38.587563
207,24.133368,38.078866
206,63.301882,1
205,63.301882,1
204,63.301882,1
203,63.301882,1
202,63.301882,1
201,63.301882,1
200,63.301882,1
199,63.301882,1
198,63.301882,1
197,63.301882,1
196,63.301882,1
195,63.301882,1
194,63.301882,1
193,63.301882,1
192,63.301882,1
191,63.301882,1
190,63.301882,1
189,63.301882,1
188,63.301882,1
187,63.301882,1
186,63.301882,1
185,63.301882,1
184,63.301882,1
183,63.301882,1
182,63.301882,1
181,63.301882,1
180,63.301882,1
179,63.301882,1
178,63.301882,1
177,63.301882,1
176,63.301882,1
175,63.301882,1
174,63.301882,1
173,63.301882,1
172,63.301882,1
171,63.301882,1
170,63.301882,1
169,63.301882,1
168,63.301882,1
167,63.301882,1
166,63.301882,1
165,63.301882,1
164,63.301882,1
163,63.301882,1
162,63.301882,1
161,63.301882,1
160,63.301882,1
159,63.301882,1
158,63.301882,1
157,63.301882,1
156,63.301882,1
155,63.301882,1
154,63.301882,1
153,63.301882,1
152,63.301882,1
151,63.301882,1
150,63.301882,1
149,63.301882,1
148,63.301882,1
147,63.301882,1
146,10.646834,99.478641
145,10.047831,15.264338
144,10.047831,15.264338
143,10.047831,15.264338
142,9.352945,118.713942
141,8.736032,18.027756
140,7.332311,15.811388
139,7.490012,126.210142
138,11.092774,9.219544
137,11.092774,9.219544
136,11.092774,9.219544
135,11.092774,9.219544
134,11.092774,9.219544
133,11.092774,9.219544
132,7.365093,106.075445
131,7.43713,107.480231
130,7.923324,9.219544
129,7.923324,9.219544
128,8.881715,15.620499
127,10.079754,14.21267
126,10.079754,14.21267
125,12.578786,15
124,12.578786,15
123,12.578786,15
122,12.578786,15
121,12.578786,15
120,12.4598,15.811388
119,12.4598,15.811388
118,12.4429,14.422205
117,11.354036,13.892444
116,11.354036,13.892444
115,11.354036,13.892444
114,11.354036,13.892444
113,10.405815,14.764823
112,11.354405,54.129474
111,11.354405,54.129474
110,9.732914,53.712196
109,9.420969,55.154329
108,10.792453,57.008771
107,9.885861,56.648036
106,9.169913,60.74537
105,10.955915,55.973208
104,9.646166,55.65968
103,10.152053,57.280014
102,10.896995,58.240879
101,10.872508,57.974132
100,10.646912,58.694122
99,10.822515,58.463664
98,11.070726,58.249464
97,10.762614,58.051701
96,10.265672,58.855756
95,9.275388,62.801274
94,10.731452,63.63961
93,10.353822,64.498062
92,9.220488,62.289646
91,9.148837,65.192024
90,9.109575,64.124878
89,8.779123,67.067131
88,8.82181,73.027392
87,9.798953,70.007142
86,9.642045,69
85,9.018525,73.027392
84,9.523864,73.061618
83,9.032578,72.111026
82,8.316898,72.173402
81,8.699577,75.325958
80,7.823404,75.42546
79,7.445471,75.66373
78,6.967832,79.906195
77,7.320845,79.075913
76,6.539044,85.328776
75,6.002198,54.129474
