"azimuth","horizon_height","horizon_distance"
0,2.696101,1523.324004
359,2.748717,1502.169372
358,2.824931,2140.894477
357,2.827416,2100.147738
356,2.938305,2680.141628
355,3.028576,2640.747747
354,3.185106,3303.050936
353,3.370702,3326.101791
352,3.428152,3308.798481
351,3.506618,2913.558722
350,3.635535,3361.631301
349,3.81296,3609.522324
348,4.006219,3617.658683
347,4.248279,3771.407052
346,4.49674,3660.0915
345,4.742044,3651.775835
344,4.849007,3605.474996
343,4.992842,3517.018403
342,5.151684,3531.490273
341,5.12465,3464.476888
340,5.232884,3233.716566
339,5.241329,3182.091492
338,5.228359,3118.090138
337,4.933201,3048.748059
336,4.69198,2961.289997
335,4.454191,2874.789245
334,4.308661,4869.372187
333,4.319852,4874.21664
332,4.329987,4878.031336
331,4.421455,4804.2017
330,4.483229,4821.116273
329,4.454186,4812.437837
328,4.308349,5566.071236
327,4.275461,5095.576336
326,4.247916,5279.260694
325,4.336075,4685.584029
324,4.459268,4738.430393
323,4.494375,4864.89294
322,4.608544,4876.390972
321,4.723912,4877.908328
320,4.720467,4836.400469
319,4.679855,4780.286865
318,4.637103,4841.608412
317,4.566724,4804.284964
316,4.469136,4980.927668
315,4.41236,4946.435415
314,4.293234,4969.832484
313,4.17279,4923.617781
312,3.982083,4865.345161
311,3.933547,3549.792956
310,3.915017,3550.469021
309,3.872358,3920.557168
308,3.931329,3981.305378
307,3.83635,3985.121583
306,3.580584,3905.222466
305,3.495702,3898.199555
304,3.329188,3848.628401
303,3.057981,3844.104425
302,2.783159,3696.79365
301,2.612539,3678.461163
300,2.42135,3705.494098
299,2.294708,3733.724281
298,1.962171,3691.054208
297,1.814816,3354.603203
296,1.790055,11949.809188
295,1.748793,11448.063271
294,1.758536,11764.137006
293,1.715176,1672.644577
292,1.823076,1681.945731
291,1.811709,1602.288476
290,1.782262,1620.534264
289,1.869417,9601.781581
288,1.838719,9704.715807
287,1.762932,9639.763798
286,1.667244,9837.42032
285,1.579895,10619.286146
284,1.477209,1619.17605
283,1.330745,44.722478
282,1.330745,44.722478
281,1.330745,44.722478
280,1.330745,44.722478
279,1.330745,44.722478
278,1.330745,44.722478
277,1.105357,10626.365596
276,0.972902,15746.69481
275,0.984322,10502.852721
274,1.088563,14411.536498
273,1.097234,14297.056337
272,1.092197,10653.13448
271,1.157858,10656.66355
270,1.120984,10281.463185
269,1.130129,10211.543154
268,1.219334,9504.363023
267,1.175226,9460.997588
266,1.073177,4160.152078
265,1.113241,4101.321861
264,1.254863,4123.208703
263,1.383239,4147.054361
262,1.333968,11291.57096
261,1.218266,4237.180389
260,1.182818,4083.87486
259,1.162403,3912.181646
258,1.146093,11642.146569
257,1.146487,3952.262768
256,1.106551,3982.109093
255,0.986326,3996.94868
254,0.916134,40.001
253,0.916134,40.001
252,0.916134,40.001
251,0.631089,17476.695087
250,0.688372,20418.110691
249,0.659758,20458.64431
248,0.696854,20194.929834
247,0.684058,20209.463634
246,0.746024,21236.726421
245,0.81018,21226.420499
244,0.850557,21222.481449
243,0.86622,21224.912815
242,0.770822,20929.125653
241,0.719827,17974.40829
240,0.721263,17889.214645
239,0.284792,22470.069966
238,0.355331,22701.836219
237,0.22365,22932.830064
236,0.193486,23062.033559
235,0.2231,23341.783156
234,0.20108,23155.405581
233,0.277278,23847.818241
232,0.360941,23881.576904
231,0.297915,22413.360234
230,0.508417,22365.934159
229,0.476171,22580.998519
228,0.355905,22430.870608
227,0.477458,25470.870363
226,0.426781,25644.548756
225,0.378091,26163.987204
224,0.348247,26491.875918
223,0.25193,26572.258145
222,0.16351,26519.524184
221,0.160775,25173.884981
220,0.117412,24019.34315
219,0.081239,24116.871275
218,0.04906,23542.38117
217,0.022953,24051.763413
216,0.017667,24440.291841
215,0,0
214,0.047309,25147.68417
213,0.070996,24948.649675
212,0,0
211,0,0
210,0,0
209,0,0
208,0,0
207,0,0
206,0,0
205,0,0
204,0,0
203,0,0
202,0,0
201,0.097973,14730.269809
200,0.207243,13478.1706
199,0.315284,14163.475203
198,0.359731,12835.584806
197,0.363428,13324.371528
196,0.417247,13278.901164
195,0.336594,13326.352811
194,0.242955,13693.917475
193,0.215107,14078.491035
192,0.250452,14277.681612
191,0.185893,14044.310655
190,0.153583,17831.878706
189,0.179474,16298.456414
188,0.131751,16404.043835
187,0.045321,16937.814025
186,0,0
185,0,0
184,0,0
183,0,0
182,0,0
181,0,0
180,0,0
179,0,0
178,0,0
177,0.00547,19941.942817
176,0.058974,18620.734033
175,0.06029,19485.45569
174,0.084605,19396.175135
173,0.090393,19392.854443
172,0.025195,19857.23331
171,0,0
170,0,0
169,0,0
168,0,0
167,0.173273,18465.791308
166,0.103432,18030.314861
165,0.116651,16195.675796
164,0.044141,17198.755458
163,0.16011,16998.601327
162,0.17297,16696.728378
161,0.180253,14556.022585
160,0.20293,16316.412313
159,0.221064,15757.665269
158,0.249543,15742.223173
157,0.401851,14966.201888
156,0.454624,14459.752897
155,0.365863,14362.559444
154,0.342837,17192.916543
153,0.349755,5796.039996
152,0.408427,16989.550662
151,0.414663,5770.759484
150,0.419475,16153.917388
149,0.475064,7907.788979
148,0.537608,7776.800359
147,0.71349,7325.782092
146,0.794909,7350.966041
145,0.779382,7090.029149
144,0.78986,6941.210912
143,0.861901,6945.128627
142,0.794279,6823.307687
141,0.711481,6798.34618
140,0.667301,12244.782418
139,0.715246,12100.715726
138,0.776849,12232.084079
137,0.765983,12320.324234
136,0.812703,12174.572302
135,0.720187,13108.386292
134,0.64422,12826.855659
133,0.615248,13341.832704
132,0.67467,12969.595607
131,0.625159,13181.073048
130,0.643772,12873.425571
129,0.700064,15952.439423
128,0.726784,15767.41038
127,0.851565,12198.304786
126,0.830951,11846.308137
125,0.864529,15652.126022
124,0.846182,15570.000668
123,0.864455,14108.463845
122,0.925121,11150.776509
121,0.927857,10624.257317
120,1.023147,11094.293756
119,1.110735,10946.432798
118,1.177178,10873.983261
117,1.110374,10276.59867
116,1.188912,10865.721466
115,1.253615,10847.870003
114,1.324318,10744.141269
113,1.324888,10626.064438
112,1.314729,10448.552934
111,1.326233,10327.251929
110,1.338146,10200.529513
109,1.353169,10147.962794
108,1.381845,10521.80285
107,1.440511,10089.216492
106,1.386136,10387.675148
105,1.371611,10473.847663
104,1.29939,10139.385591
103,1.241556,10149.38177
102,1.153361,10239.259833
101,1.027595,10400.894612
100,0.900336,9716.394405
99,0.837562,9553.897826
98,0.811939,18094.484516
97,0.866234,10034.153378
96,0.854202,9923.493518
95,0.740705,10075.568255
94,0.692149,10030.166002
93,0.697983,4368.81612
92,0.745542,4682.765889
91,0.779932,4956.291779
90,0.804863,4729.642527
89,0.845073,4745.221366
88,0.865316,4742.185612
87,0.953257,6260.667674
86,1.154299,6400.285002
85,1.202281,6301.712902
84,1.309109,6365.47138
83,1.321977,6370.339786
82,1.494826,4813.601406
81,1.654872,4881.843051
80,1.712764,4989.433302
79,1.896336,4981.409507
78,2.179312,4831.104111
77,2.359957,4843.343149
76,2.526465,4899.79595
75,2.621462,4710.828967
74,2.747695,4746.654242
73,2.844147,5016.099881
72,2.956572,5078.90635
71,3.045772,5123.915756
70,3.010026,5000.125
69,3.103118,4984.901445
68,3.175855,5015.501741
67,3.100555,5060.166027
66,2.893572,5049.403408
65,2.541609,5578.705588
64,2.626473,5470.968517
63,2.586862,5402.097655
62,2.693726,5550.093704
61,2.666167,5413.082765
60,2.714658,5536.671625
59,2.667229,5492.38639
58,2.649748,5467.201703
57,2.375607,5452.952107
56,2.118467,5701.089813
55,2.100374,5779.72925
54,2.117075,5681.831932
53,2.099162,5735.960687
52,2.022242,8853.627459
51,2.016178,8884.027586
50,2.049505,2560.142126
49,2.038042,2640.141758
48,2.008877,2692.649718
47,1.987545,2701.918764
46,1.962073,2824.605973
45,1.93192,2863.635802
44,1.978786,2704.21257
43,2.042906,2730.416222
42,2.044117,2743.788695
41,2.080004,2870.960136
40,2.097598,3013.180039
39,2.129448,2986.778536
38,2.158333,2974.767629
37,2.14876,2906.961043
36,2.192344,3180.519732
35,2.211186,3186.04889
34,2.280142,3052.288618
33,2.326779,3116.101007
32,2.376151,3180.645502
31,2.305462,3206.635949
30,2.283979,3272.817677
29,2.264404,2679.843104
28,2.294256,2675.585529
27,2.449459,2949.9212
26,2.536586,2964.530217
25,2.522086,3106.265028
24,2.50858,3006.002626
23,2.430304,2441.863658
22,2.487892,2799.855701
21,2.527755,2729.53705
20,2.519017,2731.368339
19,2.66544,2232.36403
18,2.622832,2198.690907
17,2.594957,2139.586148
16,2.522477,2106.898655
15,2.453487,2156.810743
14,2.435294,2163.199936
13,2.416636,2170.492005
12,2.381419,2140.146958
11,2.333582,2129.654142
10,2.232334,2100.433427
9,2.293253,1679.089325
8,2.397573,1694.503928
7,2.625105,1667.254924
6,2.643227,1663.772341
5,2.562959,1660.52337
4,2.596136,1250.311226
3,2.545676,1570.389538
2,2.543737,1568.222867
1,2.597729,1544.706866
